Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.99,0.99,0.99,0.99,0.98,0.93,0.91,0.82,0.69,0.62,0.43,0.36
2,1,0.96,1,0.96,0.95,0.88,0.85,0.74,0.59,0.51,0.32,0.25
3,0.98,0.9,0.98,0.91,0.89,0.81,0.78,0.65,0.48,0.4,0.22,0.17
4,0.93,0.82,0.93,0.85,0.83,0.73,0.7,0.55,0.36,0.29,0.13,0.09
5,0.85,0.73,0.87,0.77,0.75,0.64,0.6,0.44,0.26,0.19,0.07,0.04
6,0.77,0.63,0.79,0.68,0.66,0.54,0.5,0.33,0.16,0.11,0.02,0.01
7,0.67,0.53,0.7,0.59,0.57,0.45,0.4,0.23,0.08,0.05,0,0
8,0.56,0.44,0.61,0.5,0.48,0.35,0.29,0.14,0.03,0.01,0.01,0.01
9,0.46,0.34,0.51,0.4,0.38,0.25,0.2,0.06,0,0,0.03,0.04
10,0.36,0.26,0.42,0.31,0.29,0.16,0.11,0.02,0.01,0.02,0.08,0.09
11,0.27,0.18,0.33,0.23,0.2,0.09,0.05,0,0.04,0.06,0.14,0.15
12,0.19,0.11,0.24,0.15,0.12,0.03,0.01,0.01,0.09,0.12,0.21,0.22
13,0.12,0.06,0.17,0.09,0.06,0,0,0.05,0.16,0.19,0.29,0.3
14,0.07,0.02,0.1,0.04,0.02,0,0.02,0.12,0.25,0.28,0.38,0.39
15,0.03,0,0.05,0.01,0,0.03,0.07,0.2,0.34,0.37,0.47,0.49
16,0.01,0,0.02,0,0.01,0.09,0.15,0.3,0.44,0.46,0.57,0.58
17,0,0.02,0,0.02,0.05,0.17,0.24,0.4,0.54,0.56,0.66,0.68
18,0.01,0.06,0.01,0.07,0.11,0.27,0.34,0.5,0.63,0.65,0.75,0.77
19,0.05,0.12,0.04,0.13,0.2,0.38,0.45,0.6,0.72,0.74,0.83,0.85
20,0.09,0.2,0.09,0.22,0.3,0.49,0.55,0.69,0.8,0.81,0.9,0.92
21,0.16,0.29,0.16,0.32,0.41,0.6,0.65,0.78,0.87,0.88,0.95,0.97
22,0.24,0.39,0.25,0.44,0.52,0.7,0.75,0.85,0.93,0.94,0.99,1
23,0.33,0.5,0.35,0.55,0.63,0.79,0.83,0.91,0.97,0.98,1,0.99
24,0.44,0.61,0.47,0.66,0.73,0.86,0.89,0.96,0.99,1,0.98,0.96
25,0.55,0.72,0.58,0.76,0.82,0.92,0.94,0.99,1,0.99,0.94,0.91
26,0.65,0.82,0.69,0.85,0.89,0.97,0.98,1,0.98,0.97,0.88,0.82
27,0.76,0.9,0.79,0.92,0.95,0.99,1,0.99,0.95,0.92,0.79,0.73
28,0.85,0.96,0.88,0.97,0.98,1,1,0.97,0.89,0.85,0.69,0.62
29,0.93,--,0.94,0.99,1,0.99,0.98,0.92,0.82,0.76,0.58,0.51
30,0.98,--,0.98,1,0.99,0.96,0.94,0.86,0.72,0.65,0.47,0.4
31,1,--,1,--,0.97,--,0.89,0.78,--,0.54,--,0.3
